rank,post_title,site,job_link,company_name,job_profile,salary_range,job_location,founding_year,team_size,company_hq,post_date,role_description
1,Svix (YC W21) Is Hiring a Developer Marketer (US Remote),svix.com,https://www.svix.com/careers/,,,,,,,,2025-01-30T21:00:10 1738270810,
2,Great Question (YC W21) Is Hiring Lead Product Designer,ycombinator.com,https://www.ycombinator.com/companies/great-question/jobs/T5RTrue-lead-product-designer,Great Question,Lead Product Designer,$150K - $180K,"United States (Remote) / Remote (CO, US; Oakland, CA, US)",2020,22,"Oakland, CA",2025-01-30T17:00:00 1738256400,"Great Question is the all-in-one customer research platform for understanding your customers. Run interviews, surveys, and prototype tests while using AI to analyze it all in one place."
3,Codes Health (YC S24) Is Hiring,Site not found,item?id=42877004,,,,,,,,2025-01-30T12:00:46 1738238446,
4,Etleap (YC W13) Is Hiring a Senior Software Engineer (SF),Site not found,item?id=42873532,,,,,,,,2025-01-30T01:02:03 1738198923,
5,Frigade (YC W23) is hiring engineer #2,ycombinator.com,https://www.ycombinator.com/companies/frigade/jobs/KUwAluN-senior-full-stack-engineer,Frigade,Senior Full Stack Engineer,$130K - $180K / 0.50% - 1.50%,"San Francisco, CA, US",2022,4,San Francisco,2025-01-29T17:00:50 1738170050,"We’re looking for an experienced software engineer who embraces the breadth of responsibilities that come with a senior full-stack role. You’ll collect and prioritize feedback directly from customers, figure out the best way to solve their problems, and drive the work to get it done.

We’d never say something like “deep cross-functional impact” out loud, but our CEO does routinely ship code and our UI engineer is currently editing this job posting, so draw your own conclusions there. We highly value the ability to step up and solve the problem at hand with an entrepreneurial spirit, a designer's eye for detail, and the rigor of an engineer whose cell number is saved in PagerDuty."
6,Infracost (YC W21) Is Hiring Senior Software Engineers (GMT+2 to GMT-6),infracost.notion.site,https://infracost.notion.site/Join-the-team-6512e4f4a89d4fc5b7a112583c0a1c3c,,,,,,,,2025-01-29T12:00:22 1738152022,
7,SciPhi (YC W24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/sciphi/jobs/CVYWWpl-founding-ai-research-engineer,SciPhi,Founding AI Research Engineer,$125K - $250K / 2.00% - 4.00%,"San Francisco, CA, US",2023,6,San Francisco,2025-01-28T21:01:03 1738098063,Founding AI Research Engineer at SciPhi
8,Curo (YC F24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/curo/jobs/s7a36qb-associate-marketplace-supply,Curo,"Associate, Marketplace Supply",$60K - $90K / 0.10% - 0.50%,"San Francisco, CA, US",2023,6,San Francisco,2025-01-28T17:00:58 1738083658,"As a Marketplace Supply Associate, you’ll wear all kinds of different hats by working directly with me (CEO), Gaia (Virtual Depot Lead) and Bianca (Virtual Depot Associate) to build Curo from the ground up:"
9,Structured (YC S23) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/structured/jobs/QsFSDNJ-founding-engineer,Structured,Founding Engineer,$120K - $150K / 0.25% - 1.00%,"San Francisco, CA, US / Remote (US)",2023,3,San Francisco,2025-01-28T12:00:20 1738065620,"At Structured, we’re redefining how developers build and deploy data apps by consolidating the entire analytics stack into code. While AI tools like Copilot have made writing code faster, deploying production-grade data-intensive apps is still fragmented and inefficient. Trends like local-first development and in-process data querying are changing how modern apps are built: faster iteration, lower latency, and simpler infrastructure. Structured builds on these shifts with a lightweight SDK that lets developers prototype, deploy, and manage data applications (dashboards, internal tools) in hours instead of weeks. If you’re excited to build tools that push the boundaries of modern data development, join us."
10,Hyperbound (YC S23) is hiring a Founding Account Executive in SF,ycombinator.com,https://www.ycombinator.com/companies/hyperbound/jobs/c3NkW7d-founding-full-cycle-account-executive-in-sf,Hyperbound,Founding Account Executive in SF,$260K - $300K / 0.10% - 0.30%,"San Francisco, CA, US",2023,10,San Francisco,2025-01-26T22:39:54 1737931194,Who we are:
11,SigNoz (YC W21) Is hiring back end engineers to build open-source Datadog,linkedin.com,https://www.linkedin.com/posts/pranay01_inviting-backend-engineers-interested-activity-7275015683980075008-CzV9,,,,,,,,2025-01-26T07:02:13 1737874933,
12,Bucket Robotics (YC S24) is hiring our first engineer,Site not found,item?id=42825423,,,,,,,,2025-01-25T22:13:30 1737843210,
13,Inboxbooster (YC W17) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/inboxbooster/jobs/ci7Hwk0-jvm-bytecode-engineer-full-remote,Inboxbooster,JVM Bytecode Engineer (full remote),$50K - $150K / 0.50% - 1.50%,"San Francisco, CA, US / Remote (US)",2016,3,San Francisco,2025-01-25T12:01:09 1737806469,"We're building technology that automatically parallelizes Java applications by transforming bytecode post-compilation. Our proof of concept already shows a 2.8x speedup on real workloads without requiring source code changes. Now, we're looking for a brilliant JVM engineer to help turn this into a game-changing product."
14,Converge (YC S23) is hiring engineer #2 in NYC,gem.com,https://jobs.gem.com/converge/am9icG9zdDreA6I3WJ4ZJ1Yx_WHS5zKP,,,,,,,,2025-01-24T17:00:37 1737738037,
15,Sei (YC W22) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/sei/jobs/LeAtLYf-full-stack-engineer-typescript-react-gen-ai,Sei,"Full Stack Engineer (Typescript, React, Gen AI)",₹1M - ₹3.2M INR / 0.02% - 0.14%,"Gurugram, HR, IN",2023,,"Delhi, India",2025-01-24T01:00:52 1737680452,"We are Sei, an AI-powered regulatory compliance platform. Since launching, a few months ago, we're live with large enterprises across the US, Europe, and APAC and growing at double digits per month."
16,Intrinsic (YC W23) Is Hiring,Site not found,item?id=42805699,,,,,,,,2025-01-23T17:00:58 1737651658,
17,Extend (YC W23) is hiring engineers to build LLM document processing,ashbyhq.com,https://jobs.ashbyhq.com/extend/9d4d8974-bd9b-432d-84ec-8268e5a8ed37,,,,,,,,2025-01-23T12:00:07 1737633607,
18,Demodesk (YC W19) Is Hiring a Ruby on Rails Full-Stack Engineer,demodesk.com,https://demodesk.com/careers?utm_source=hn,,,,,,,,2025-01-23T01:01:09 1737594069,
19,Trellis (YC W24) Is Hiring,runtrellis.com,https://runtrellis.com/,,,,,,,,2025-01-22T21:01:14 1737579674,
20,Sieve (YC W22) Is Hiring Engineers to Build the Future of Video AI,sievedata.com,https://www.sievedata.com/,,,,,,,,2025-01-22T17:01:17 1737565277,
21,Strac (YC W22) Is Hiring Windows Engineer,ycombinator.com,https://www.ycombinator.com/companies/strac/jobs/TJHiaL9-senior-endpoint-security-engineer-windows,Strac,Senior Endpoint Security Engineer (Windows),$135K - $200K / 0.01% - 0.10%,USA / Remote (USA),2021,8,"Bellevue, WA",2025-01-22T12:00:05 1737547205,"We are seeking a highly skilled Senior Windows Endpoint Security Engineer to design and develop advanced endpoint security solutions for Windows devices. The ideal candidate will have a strong background in Windows system-level programming and a passion for building tools that protect sensitive data, monitor security events, and enhance organizational compliance. This is an opportunity to work on cutting-edge technology that secures endpoints in diverse enterprise environments."
22,HyperDX (YC S22) is hiring engineers to build open source observability,ycombinator.com,https://www.ycombinator.com/companies/hyperdx/jobs,HyperDX,Senior Endpoint Security Engineer (Windows),HyperDX,,2022,4,"San Mateo, CA",2025-01-21T21:01:02 1737493262,"HyperDX helps engineers figure out why production is broken faster by centralizing and correlating logs, metrics, traces, exceptions and session replays in one place. We're building the open source and developer friendly alternative to tools like Datadog and New Relic."
23,Motion (YC W20) Is Hiring EMs and Engineers,ashbyhq.com,https://jobs.ashbyhq.com/motion?utm_source=hn,,,,,,,,2025-01-21T17:01:01 1737478861,
24,CollectWise (YC F24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/collectwise/jobs/miUmVns-founding-engineer,CollectWise,Founding Engineer,$140K - $190K / 0.25% - 1.00%,"New York, NY, US",2024,2,,2025-01-20T03:58:04 1737345484,About Us
25,Gauntlet AI (YC S17) is training AI engineers and hiring them in Austin,gauntletai.com,https://gauntletai.com,,,,,,,,2025-01-19T17:01:02 1737306062,
26,Spellbrush (YC W18) Is Hiring Game Programmers (Anime SRPG/Tactics),Site not found,item?id=42744820,,,,,,,,2025-01-18T01:00:04 1737162004,
27,Keeling Labs (YC W23) Is Hiring an ML Engineer for Grid-Scale Energy Storage,keelinglabs.com,https://www.keelinglabs.com/jobs?ashby_jid=81b48fb8-8176-4529-a38d-8fc736ebe2aa,,,,,,,,2025-01-17T17:00:11 1737133211,
28,Fern (YC W23) Is Hiring an AI Engineer in NYC,ycombinator.com,https://www.ycombinator.com/companies/fern/jobs/bEL3MoW-ai-engineer,Fern,AI Engineer,$170K - $210K,"New York, NY, US",2022,12,New York,2025-01-17T12:01:11 1737115271,"This role is ideal for ambitious engineers with entrepreneurial goals. Many of us are former or future founders, and this is an opportunity to scale a company from $1M to $10M ARR while partnering with fast-growing tech companies shaping the future of software. We value in-person collaboration and work out of our office in the Williamsburg neighborhood of Brooklyn."
29,Continue (YC S23) Is Hiring a Software Engineer in San Francisco,ycombinator.com,https://www.ycombinator.com/companies/continue/jobs/smcxRnM-software-engineer,Continue,Software Engineer,$150K - $200K / 0.50% - 1.50%,"San Francisco, CA, US",2023,5,San Francisco,2025-01-16T21:00:25 1737061225,"Continue is seeking an outstanding software engineer to help us build state-of-the-art autocomplete and codebase retrieval, who thinks rigorously and pays attention to the smallest details. In this role, you will work on fundamental, but highly open-ended problems where deliberate measurement, rapid experimentation, and empathy for users push forward the product."
30,Artie (YC S23) Is Hiring a Founding Engineer (Distributed Systems),ycombinator.com,https://www.ycombinator.com/companies/artie/jobs/Vz704T1-founding-engineer-distributed-systems,Artie,Founding Engineer (Distributed Systems),$150K - $215K / 0.50% - 1.00%,"San Francisco, CA, US",2023,7,San Francisco,2025-01-16T17:00:09 1737046809,"We are a small team based in San Francisco looking to hire our third founding engineer that has a dedicated focus around distributed systems. As a founding engineer, you will have the opportunity to wear multiple hats, directly interact with our customers and play a crucial role in shaping the future of our product."
31,Craniometrix (YC W22) is hiring a founding engineer on CTO track,ycombinator.com,https://www.ycombinator.com/companies/craniometrix/jobs/5Ucqf0Q-founding-full-stack-engineer-cto-track,Craniometrix,Founding Full Stack Engineer (CTO track),$160K - $220K / 0.25% - 1.00%,"New York, NY, US",2021,5,New York,2025-01-14T14:43:04 1736865784,"At Craniometrix, we're more than just a startup: we're a dedicated team working to make Alzheimer’s disease suck a little less. We build software to help keep grandma happy, healthy, and at home. We have millions of dollars in the bank and millions in contracts, and are looking for a founding engineer that wants to help us change healthcare."
32,Humanize Healthcare Content as Wyndly (YC W21) 's first content hire,dover.com,https://app.dover.com/apply/Wyndly/008f0389-988d-4b63-87c1-026b7b20c6fa/?rs=76643084,,,,,,,,2025-01-13T17:00:21 1736787621,
33,"Raycast (YC W20) Is Hiring Full Stack Engineer (EU, Remote, €105k-€160k)",raycast.com,https://www.raycast.com/jobs/software-engineer-full-stack,,,,,,,,2025-01-13T12:00:11 1736769611,
34,Langfuse (YC W23) Is Hiring OSS Engineers in Berlin,github.com/langfuse,https://github.com/langfuse/langfuse/blob/main/careers,,,,,,,,2025-01-13T09:55:27 1736762127,
